ts,x,y,buttons,active_trial_id,dt_ms,vx,vy,speed_px_s,ax,ay,accel_px_s2,jerk_px_s3,heading_rad,dheading_rad,curv,dist_to_target,inside_target,target_trial_id,label,target_cx,target_cy,target_size
4571.5758812,675,444,0,,15.879800000220712,188.91925590739828,-188.91925590739828,267.1721738976761,3648.610034000846,475.49915776623885,3679.463905142712,895714.5503251692,-0.7853981633974483,0.19739555984988078,0.04652657964865523,0.0,0,,,0.0,0.0,
4571.5926152,683,438,0,,16.73399999981484,478.0686028497979,-358.55145213734846,597.5857535622474,17279.15303846056,-10136.97838124938,20033.15902269181,1032313.4024173105,-0.6435011087932844,0.1418970546041639,0.014189705460416391,0.0,0,,,0.0,0.0,
4571.6093222,688,435,0,,16.706999999769323,299.27575268265014,-179.5654516095901,349.01250343723046,-10701.67296160989,10713.23400552042,15142.628141583986,2088642.8666252964,-0.5404195002705842,0.10308160852270021,0.017678350015857065,0.0,0,,,0.0,0.0,
4571.625066,697,433,0,,15.743799999654584,571.653603335755,-127.0341340746122,585.5984233472963,17300.64219941061,3336.6352174272047,17619.45955715449,1839303.209219647,-0.21866894587394195,0.32175055439664224,0.03489874753433502,0.0,0,,,0.0,0.0,
4571.6401732,702,433,0,,15.10720000078436,330.9680152338224,0.0,330.9680152338224,-15931.846277896382,8408.847044324339,18014.78377437162,2225252.932829647,0.0,0.21866894587394195,0.04373378917478839,0.0,0,,,0.0,0.0,
4571.6560085,704,433,0,,15.835299999707786,126.30010167391251,0.0,126.30010167391251,-12924.78914600208,0.0,12924.78914600208,563951.8800138221,0.0,0.0,0.0,0.0,0,,,0.0,0.0,
4571.6718153,704,433,1,6,15.806800000063959,0.0,0.0,0.0,-7990.238484285337,0.0,7990.238484285337,312178.97750947543,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.6871331,704,433,1,6,15.31780000004801,0.0,0.0,0.0,0.0,0.0,0.0,521630.94466961926,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.7024675,704,433,1,6,15.334400000028836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.7176769,704,433,1,6,15.209399999548623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.7335084,704,433,1,6,15.831499999876542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
