trial_id,phase,label,outcome,target_size,spawn_ts,end_ts,time_to_end_ms,approach_time_ms,tail_time_ms,dwell_in_target_ms,miss_clicks,center_x,center_y,end_x,end_y,end_dx,end_dy,end_radial_error,overshoot_px,max_speed_px_s,median_speed_px_s,stop_time_ms,pause_count,accel_p50,jerk_p50,jerk_p90,heading_total_change,curv_p50,curv_p90,pre_click_ms,click_hold_ms,points_in_trial
40,2,P2_SWEEP,HIT,46,5513.770138,5514.761854,991.715,790.899,200.816,202.363,0,1350.0,432.0,1341.0,425.0,-9.0,-7.0,11.402,24.737,7054.756,419.879,281.377,0,13851.93,2092623.793,12501548.554,10.035793,0.000630662,0.107923684,94.589,106.225,68
41,2,P2_SWEEP,HIT,46,5515.316898,5516.185546,868.648,693.509,175.139,187.704,0,710.0,174.0,723.0,169.0,13.0,-5.0,13.928,26.659,2369.221,338.508,333.155,0,7001.586,880990.169,8562127.747,7.100789,0.0,0.061453385,77.619,97.518,59
42,2,P2_SWEEP,HIT,46,5516.628865,5517.528539,899.673,769.147,130.527,142.148,0,710.0,690.0,714.0,681.0,4.0,-9.0,9.849,29.445,3355.567,372.875,292.244,0,5935.788,589293.356,7779303.446,11.780828,0.002729348,0.10230108,32.876,97.649,60
43,2,P2_SWEEP,HIT,46,5517.995456,5519.163681,1168.225,1018.381,149.845,155.391,1,70.0,174.0,91.0,170.0,21.0,-4.0,21.378,17.827,15259.161,476.749,545.105,0,6187.272,748912.834,21992477.485,11.97637,0.0,0.108044192,74.341,75.502,78
44,2,P2_SWEEP,HIT,46,5519.890001,5520.806053,916.052,506.789,409.263,207.017,0,1350.0,174.0,1354.0,157.0,4.0,-17.0,17.464,20.588,9113.026,143.279,351.533,0,3973.664,438347.507,21712676.006,13.573289,0.0,0.244978663,311.526,97.735,63
45,2,P2_SWEEP,HIT,46,5521.406013,5522.575928,1169.915,623.658,546.257,254.525,1,70.0,690.0,67.0,686.0,-3.0,-4.0,5.0,32.162,6456.117,559.367,466.928,0,10267.533,1029561.083,20471910.779,7.760371,0.0,0.025355042,464.024,82.231,81
46,2,P2_SWEEP,HIT,46,5523.91783,5525.133808,1215.979,892.102,323.877,326.726,0,1350.0,690.0,1370.0,692.0,20.0,2.0,20.1,15.411,6935.546,644.393,514.72,0,6999.228,771376.595,18268531.419,13.567017,0.0,0.047942985,240.093,83.782,82
47,2,P2_SWEEP,HIT,46,5525.807939,5526.784035,976.096,753.457,222.638,235.614,0,70.0,432.0,80.0,434.0,10.0,2.0,10.198,26.694,19192.587,287.071,465.991,0,5589.407,554130.908,17645386.774,10.896224,0.0,0.211382011,117.185,105.451,69
48,2,P2_SWEEP,HIT,46,5527.308185,5528.381305,1073.12,913.028,160.092,171.636,1,1350.0,432.0,1356.0,437.0,6.0,5.0,7.81,33.013,4315.982,369.65,431.949,0,11392.793,1378521.882,11420164.202,10.778756,0.0,0.175669328,69.22,90.87,77
49,2,P2_SWEEP,HIT,46,5528.846428,5530.031119,1184.69,1005.596,179.095,186.551,1,710.0,174.0,705.0,173.0,-5.0,-1.0,5.099,34.016,3490.178,349.616,428.248,0,8533.683,973258.373,9960191.803,9.556116,0.0,0.119172685,74.022,105.071,82
50,2,P2_SWEEP,HIT,46,5530.540566,5531.418572,878.005,787.703,90.302,97.069,0,710.0,690.0,725.0,687.0,15.0,-3.0,15.297,19.112,2548.895,193.278,439.973,0,3289.085,320174.722,16246317.173,4.797448,0.0,0.012427288,7.504,82.796,60
51,2,P2_SWEEP,HIT,46,5532.16783,5533.818027,1650.197,1507.604,142.593,144.809,0,70.0,174.0,83.0,178.0,13.0,4.0,13.601,26.211,5387.954,178.123,614.022,0,6736.89,787290.844,10355907.068,27.71517,0.0,0.457399642,52.588,90.003,115
52,2,P2_SWEEP,HIT,46,5534.644576,5536.068084,1423.509,810.493,613.016,217.722,1,1350.0,174.0,1366.0,162.0,16.0,-12.0,20.0,19.051,6806.27,446.657,731.1,0,4245.626,575016.29,13201465.062,12.896319,0.0,0.089639721,515.158,97.856,99
53,2,P2_SWEEP,HIT,46,5538.430244,5539.444896,1014.652,844.346,170.306,189.821,0,70.0,690.0,87.0,674.0,17.0,-16.0,23.345,15.068,17170.698,374.506,566.614,1,4206.18,568764.926,14546491.181,12.340302,0.0,0.179463089,55.923,114.381,69
